ID_ESTUDIOS,ESTATUS DE ESTUDIO,ANIO,ESTADOS,TITULO_ORIGINAL,TITULO_BUSQUEDA,EMPRESA,FUENTE,CONTRATO,EJEMPLARES,TOMOS,CARATULA,PDF,ESTADO_ARCHIVOS
1,DIGITAL,1971,AGUASCALIENTES,ESTUDIO HIDROGEOLÓGICO COMPLETO DE LOS ACUÍFEROS EN EL ESTADO DE AGUASCALIENTES.,ESTUDIO HIDROGEOLÓGICO COMPLETO DE LOS ACUÍFEROS EN EL ESTADO DE AGUASCALIENTES,"ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,3,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0001_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0001_EC.PDF,AGUASCALIENTES
2,AMBOS,1981,AGUASCALIENTES,"ACTUALIZACIÓN DEL ESTUDIO GEOHIDROLÓGICO EN LOS VALLES DE AGUASCALIENTES - CHICALOTE -CALVILLO Y VENADERO, EN EL ESTADO DE AGUASCALIENTES.","ACTUALIZACIÓN DEL ESTUDIO GEOHIDROLÓGICO EN LOS VALLES DE: 0101 VALLE DE AGUASCALIENTES, 0102 VALLE DE CHICALOTE, 0105 VALLE DE CALVILLO Y 0104 VENADERO, EN EL ESTADO DE AGUASCALIENTES","CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),"GZA-80-IGD
GZA-81-100-GD",1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0002_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0002_EC.PDF,AGUASCALIENTES
5,DIGITAL,1977,AGUASCALIENTES,PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL ESTADO DE AGUASCALIENTES.,PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL ESTADO DE AGUASCALIENTES.,"CONSULTEC INGENIEROS ASOCIADOS, SOCIEDAD CIVIL",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-77-18E,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0005_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0005_EC.PDF,AGUASCALIENTES
7,FÍSICO,1994,TAMAULIPAS,"CARACTERIZACIÓN GEOHIDROLÓGICA DEL ESTADO DE TAMAULIPAS
","CARACTERIZACIÓN GEOHIDROLÓGICA DEL ESTADO DE TAMAULIPAS
","PECTEN, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE",COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0007_CC.pdf,,TAMAULIPAS
8,DIGITAL,1981,AGUASCALIENTES,"ESTUDIO GEOHIDROLÓGICO DE LOS VALLES DE AGUASCALIENTES, CHICALOTE Y CALVILLO, EN EL EDO. DE AGUASCALIENTES.","ESTUDIO GEOHIDROLÓGICO DE LOS VALLES DE: 0101 VALLE DE AGUASCALIENTES, 0102 VALLE DE CHICALOTE Y 0105 VALLE DE CALVILLO, EN EL EDO. DE AGUASCALIENTES.","CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-80-I GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0008_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0008_EC.PDF,AGUASCALIENTES
9,AMBOS,1986,AGUASCALIENTES,SINOPSIS GEOHIDROLÓGICA DEL ESTADO DE AGUASCALIENTES.,SINOPSIS GEOHIDROLÓGICA DEL ESTADO DE AGUASCALIENTES.,SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0009_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0009_EC.PDF,AGUASCALIENTES
10,DIGITAL,1974,AGUASCALIENTES,"ESTUDIO GEOFÍSICO EN LA ZONA DE CALVILLO, ESTADO DE AGUASCALIENTES.","ESTUDIO GEOFÍSICO EN LA ZONA DE 0105 VALLE DE CALVILLO, ESTADO DE AGUASCALIENTES.","GEOFIMEX, SOCIEDAD ANÓNIMA","GEOFIMEX, SOCIEDAD ANÓNIMA",EIGZA-74-4,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0010_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0010_EC.PDF,AGUASCALIENTES
11,AMBOS,2007,TAMAULIPAS,"ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO 2804 SAN CARLOS, ESTADO DE TAMAULIPAS
","ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO 2804 SAN CARLOS, ESTADO DE TAMAULIPAS
",DSK TECHNOLOGIES SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-OCGN-TA-1-07-032-RF-LP,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0011_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0011_EC.pdf,TAMAULIPAS
12,DIGITAL,1983,AGUASCALIENTES,"ESTUDIO GEOHIDROLÓGICO EN AGUASCALIENTES, AGTS.
TOMO 1: ESTUDIO DE EVALUACIÓN GEOHIDROLÓGICA A NIVEL PRELIMINAR DE LA PORCIÓN NORTE DE LA PLANICIE DEL LLANO
TOMO 2: ESTUDIO GEOHIDROLÓGICO DE LA ZONA SUR DEL VALLE DE AGUASCALIENTES.","ESTUDIO GEOHIDROLÓGICO EN AGUASCALIENTES, ESTADO DE AGUASCALIENTES
TOMO 1: ESTUDIO DE EVALUACIÓN GEOHIDROLÓGICA A NIVEL PRELIMINAR DE LA PORCIÓN NORTE DE LA PLANICIE DEL LLANO
TOMO 2: ESTUDIO GEOHIDROLÓGICO DE LA ZONA SUR DEL VALLE DE AGUASCALIENTES.","PROYECTOS DE INGENIERÍA Y CONSTRUCCIÓN, SOCIEDAD ANÓNIMA",SECRETARIA DE ASENTAMIENTOS HUMANOS Y OBRAS PÚBLICAS,82-A-DC-A-001-Y-0-2,1,2,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0012_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0012_EC.PDF,AGUASCALIENTES
13,DIGITAL,1979,AGUASCALIENTES,ESTUDIOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE AGUASCALIENTES.,ESTUDIOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE AGUASCALIENTES.,"INVESTIGACIONES TÉCNICAS DEL SUBSUELO, SOCIEDAD ANÓNIMA (ITS)",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),GZA-79-23-GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0013_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0013_EC.PDF,AGUASCALIENTES
